content,rate,date,customer_id,owner_id,reservation_id
ممتازة,4,3/6/2024,1216,36,66
خدمة رائعة,5,3/7/2024,718,44,67
جيدة,1,3/8/2024,3640,94,68
ممتازة,5,3/9/2024,956,88,69
خدمة رائعة,5,3/10/2024,4407,98,70
جيدة,2,3/11/2024,4156,29,71
ممتازة,1,3/12/2024,1145,96,72
خدمة رائعة,5,3/13/2024,4596,14,73
جيدة,2,3/14/2024,4510,7,74
ممتازة,1,3/15/2024,3162,41,75
خدمة رائعة,1,3/16/2024,3517,56,76
جيدة,2,3/17/2024,309,65,77
ممتازة,1,3/18/2024,3949,97,78
خدمة رائعة,3,3/19/2024,2678,25,79
جيدة,2,3/20/2024,3698,2,80
ممتازة,4,3/21/2024,3653,95,81
خدمة رائعة,2,3/22/2024,534,35,82
جيدة,5,3/23/2024,2432,59,83
ممتازة,4,3/24/2024,3337,100,84
خدمة رائعة,4,3/25/2024,3979,91,85
جيدة,3,3/26/2024,4479,78,86
ممتازة,5,3/27/2024,2680,80,87
خدمة رائعة,3,3/28/2024,4514,27,88
جيدة,3,3/29/2024,1118,91,89
ممتازة,5,3/30/2024,4693,24,90
خدمة رائعة,4,3/31/2024,1700,56,91
جيدة,1,4/1/2024,3196,88,92
ممتازة,5,4/2/2024,4440,36,93
خدمة رائعة,2,4/3/2024,2008,1,94
جيدة,1,4/4/2024,4430,17,95
ممتازة,1,4/5/2024,2010,74,96
خدمة رائعة,1,4/6/2024,3626,41,97
جيدة,1,4/7/2024,598,17,98
ممتازة,1,4/8/2024,2744,55,99
خدمة رائعة,4,4/9/2024,806,72,100
جيدة,2,4/10/2024,549,28,101
ممتازة,4,4/11/2024,4050,83,102
خدمة رائعة,1,4/12/2024,3210,45,103
جيدة,1,4/13/2024,2711,51,104
ممتازة,3,4/14/2024,1519,1,105
خدمة رائعة,4,4/15/2024,1323,19,106
جيدة,2,4/16/2024,3719,84,107
ممتازة,3,4/17/2024,456,79,108
خدمة رائعة,4,4/18/2024,3667,52,109
جيدة,2,4/19/2024,4174,32,110
ممتازة,5,4/20/2024,1655,68,111
خدمة رائعة,1,4/21/2024,688,44,112
جيدة,3,4/22/2024,2445,1,113
ممتازة,2,4/23/2024,1578,28,114
خدمة رائعة,2,4/24/2024,2777,2,115
جيدة,1,4/25/2024,2064,59,116
ممتازة,2,4/26/2024,1563,60,117
خدمة رائعة,4,4/27/2024,2096,96,118
جيدة,4,4/28/2024,2227,94,119
ممتازة,4,4/29/2024,1806,1,120
خدمة رائعة,3,4/30/2024,4187,85,121
جيدة,3,5/1/2024,4602,82,122
ممتازة,4,5/2/2024,2208,52,123
خدمة رائعة,1,5/3/2024,692,3,124
جيدة,4,5/4/2024,4198,22,125
ممتازة,5,5/5/2024,3030,12,126
خدمة رائعة,4,5/6/2024,1780,79,127
جيدة,2,5/7/2024,221,94,128
ممتازة,3,5/8/2024,4277,88,129
خدمة رائعة,4,5/9/2024,719,17,130
جيدة,3,5/10/2024,2277,72,131
ممتازة,5,5/11/2024,3660,43,132
خدمة رائعة,4,5/12/2024,4451,76,133
جيدة,1,5/13/2024,401,7,134
ممتازة,3,5/14/2024,3619,93,135
خدمة رائعة,2,5/15/2024,1236,46,136
جيدة,5,5/16/2024,2412,9,137
ممتازة,5,5/17/2024,698,87,138
خدمة رائعة,2,5/18/2024,2408,48,139
جيدة,2,5/19/2024,145,36,140
ممتازة,4,5/20/2024,793,82,141
خدمة رائعة,3,5/21/2024,3536,11,142
جيدة,4,5/22/2024,2391,1,143
ممتازة,4,5/23/2024,3719,65,144
خدمة رائعة,2,5/24/2024,975,43,145
جيدة,3,5/25/2024,2705,78,146
ممتازة,2,5/26/2024,1769,80,147
خدمة رائعة,5,5/27/2024,3063,6,148
جيدة,3,5/28/2024,1714,55,149
ممتازة,3,5/29/2024,2881,99,150
خدمة رائعة,4,5/30/2024,27,3,151
جيدة,2,5/31/2024,4142,65,152
ممتازة,4,6/1/2024,706,23,153
خدمة رائعة,3,6/2/2024,3550,9,154
جيدة,1,6/3/2024,2419,4,155
ممتازة,1,6/4/2024,3064,99,156
خدمة رائعة,2,6/5/2024,2114,71,157
جيدة,4,6/6/2024,2003,18,158
ممتازة,4,6/7/2024,1466,18,159
خدمة رائعة,5,6/8/2024,1452,5,160
جيدة,1,6/9/2024,2561,47,161
ممتازة,5,6/10/2024,3639,32,162
خدمة رائعة,4,6/11/2024,1910,27,163
جيدة,2,6/12/2024,3645,53,164
ممتازة,2,6/13/2024,3900,3,165
خدمة رائعة,4,6/14/2024,1997,14,166
جيدة,5,6/15/2024,3538,32,167
ممتازة,5,6/16/2024,573,19,168
خدمة رائعة,1,6/17/2024,4514,3,169
جيدة,1,6/18/2024,2258,75,170
ممتازة,3,6/19/2024,1912,54,171
خدمة رائعة,1,6/20/2024,4557,70,172
جيدة,5,6/21/2024,2243,33,173
ممتازة,5,6/22/2024,1354,41,174
خدمة رائعة,1,6/23/2024,2438,19,175
جيدة,1,6/24/2024,1792,20,176
ممتازة,3,6/25/2024,610,70,177
خدمة رائعة,2,6/26/2024,465,40,178
جيدة,1,6/27/2024,4017,60,179
ممتازة,1,6/28/2024,1892,87,180
خدمة رائعة,5,6/29/2024,4732,52,181
جيدة,3,6/30/2024,2527,46,182
ممتازة,1,7/1/2024,2576,99,183
خدمة رائعة,5,7/2/2024,4878,76,184
جيدة,4,7/3/2024,2744,79,185
ممتازة,3,7/4/2024,4751,87,186
خدمة رائعة,5,7/5/2024,1477,62,187
جيدة,5,7/6/2024,3522,21,188
ممتازة,1,7/7/2024,2358,75,189
خدمة رائعة,4,7/8/2024,4522,12,190
جيدة,3,7/9/2024,4168,95,191
ممتازة,2,7/10/2024,3129,40,192
خدمة رائعة,1,7/11/2024,4683,66,193
جيدة,4,7/12/2024,882,2,194
ممتازة,3,7/13/2024,2558,52,195
خدمة رائعة,4,7/14/2024,4524,65,196
جيدة,2,7/15/2024,3028,8,197
ممتازة,2,7/16/2024,2275,15,198
خدمة رائعة,5,7/17/2024,471,20,199
جيدة,3,7/18/2024,284,92,200
ممتازة,5,7/19/2024,4047,42,201
خدمة رائعة,3,7/20/2024,2796,41,202
جيدة,1,7/21/2024,2014,93,203
ممتازة,2,7/22/2024,757,19,204
خدمة رائعة,1,7/23/2024,2871,85,205
جيدة,1,7/24/2024,807,15,206
ممتازة,3,7/25/2024,3772,55,207
خدمة رائعة,3,7/26/2024,3983,52,208
جيدة,3,7/27/2024,4870,94,209
ممتازة,3,7/28/2024,1744,73,210
خدمة رائعة,4,7/29/2024,3593,89,211
جيدة,2,7/30/2024,3096,55,212
ممتازة,3,7/31/2024,4523,52,213
خدمة رائعة,1,8/1/2024,3061,49,214
جيدة,1,8/2/2024,1734,13,215
ممتازة,5,8/3/2024,1068,30,216
خدمة رائعة,2,8/4/2024,239,31,217
جيدة,1,8/5/2024,3307,2,218
ممتازة,5,8/6/2024,4024,29,219
خدمة رائعة,4,8/7/2024,2717,79,220
جيدة,2,8/8/2024,3508,69,221
ممتازة,3,8/9/2024,4708,68,222
خدمة رائعة,3,8/10/2024,1056,4,223
جيدة,5,8/11/2024,3952,37,224
ممتازة,3,8/12/2024,3868,60,225
خدمة رائعة,2,8/13/2024,1081,56,226
جيدة,5,8/14/2024,3080,100,227
ممتازة,5,8/15/2024,3603,52,228
خدمة رائعة,3,8/16/2024,2370,33,229
جيدة,2,8/17/2024,899,45,230
ممتازة,2,8/18/2024,3150,51,231
خدمة رائعة,2,8/19/2024,3753,75,232
جيدة,1,8/20/2024,475,19,233
ممتازة,4,8/21/2024,2197,27,234
خدمة رائعة,2,8/22/2024,4623,55,235
جيدة,5,8/23/2024,2695,32,236
ممتازة,5,8/24/2024,3598,16,237
خدمة رائعة,2,8/25/2024,2603,15,238
جيدة,3,8/26/2024,3405,57,239
ممتازة,5,8/27/2024,4958,60,240
خدمة رائعة,1,8/28/2024,1436,36,241
جيدة,2,8/29/2024,889,39,242
ممتازة,5,8/30/2024,2424,6,243
خدمة رائعة,5,8/31/2024,4606,84,244
جيدة,4,9/1/2024,4951,53,245
ممتازة,2,9/2/2024,4436,99,246
خدمة رائعة,2,9/3/2024,2244,65,247
جيدة,1,9/4/2024,3103,57,248
ممتازة,4,9/5/2024,2892,85,249
خدمة رائعة,4,9/6/2024,848,78,250
جيدة,4,9/7/2024,2523,76,251
ممتازة,1,9/8/2024,3852,56,252
خدمة رائعة,3,9/9/2024,619,61,253
جيدة,3,9/10/2024,3258,61,254
ممتازة,5,9/11/2024,4760,37,255
خدمة رائعة,2,9/12/2024,2740,38,256
جيدة,2,9/13/2024,2962,66,257
ممتازة,5,9/14/2024,859,94,258
خدمة رائعة,4,9/15/2024,602,32,259
جيدة,5,9/16/2024,183,82,260
ممتازة,4,9/17/2024,3353,86,261
خدمة رائعة,3,9/18/2024,2720,9,262
جيدة,5,9/19/2024,2654,43,263
ممتازة,4,9/20/2024,383,93,264
خدمة رائعة,2,9/21/2024,3783,76,265
جيدة,4,9/22/2024,4677,58,266
ممتازة,5,9/23/2024,3595,100,267
خدمة رائعة,4,9/24/2024,3847,66,268
جيدة,1,9/25/2024,3665,81,269
ممتازة,3,9/26/2024,4049,89,270
خدمة رائعة,4,9/27/2024,2144,53,271
جيدة,1,9/28/2024,4438,63,272
ممتازة,1,9/29/2024,304,92,273
خدمة رائعة,4,9/30/2024,4336,63,274
جيدة,5,10/1/2024,1763,59,275
ممتازة,4,10/2/2024,4474,78,276
خدمة رائعة,1,10/3/2024,4531,5,277
جيدة,1,10/4/2024,254,13,278
ممتازة,1,10/5/2024,4308,88,279
خدمة رائعة,2,10/6/2024,4539,77,280
جيدة,5,10/7/2024,892,31,281
ممتازة,5,10/8/2024,3795,27,282
خدمة رائعة,4,10/9/2024,3568,5,283
جيدة,1,10/10/2024,3672,61,284
ممتازة,5,10/11/2024,4176,96,285
خدمة رائعة,1,10/12/2024,4066,71,286
جيدة,3,10/13/2024,4451,68,287
ممتازة,5,10/14/2024,3419,21,288
خدمة رائعة,1,10/15/2024,4054,50,289
جيدة,1,10/16/2024,614,24,290
ممتازة,4,10/17/2024,1201,49,291
خدمة رائعة,1,10/18/2024,4306,52,292
جيدة,1,10/19/2024,4843,83,293
ممتازة,1,10/20/2024,2755,69,294
خدمة رائعة,3,10/21/2024,3766,4,295
جيدة,2,10/22/2024,1556,85,296
ممتازة,4,10/23/2024,4830,61,297
خدمة رائعة,4,10/24/2024,1486,73,298
جيدة,4,10/25/2024,2664,27,299
ممتازة,1,10/26/2024,4243,79,300
خدمة رائعة,1,10/27/2024,2357,76,301
جيدة,4,10/28/2024,4061,36,302
ممتازة,5,10/29/2024,4671,15,303
خدمة رائعة,5,10/30/2024,4742,56,304
جيدة,4,10/31/2024,3853,92,305
ممتازة,5,11/1/2024,3924,56,306
خدمة رائعة,4,11/2/2024,3239,70,307
جيدة,1,11/3/2024,833,80,308
ممتازة,4,11/4/2024,820,30,309
خدمة رائعة,3,11/5/2024,4603,29,310
جيدة,3,11/6/2024,2013,51,311
ممتازة,1,11/7/2024,4833,53,312
خدمة رائعة,3,11/8/2024,4010,72,313
جيدة,3,11/9/2024,2850,10,314
ممتازة,3,11/10/2024,4501,1,315
خدمة رائعة,1,11/11/2024,2309,54,316
جيدة,1,11/12/2024,4659,29,317
ممتازة,4,11/13/2024,4067,81,318
خدمة رائعة,1,11/14/2024,1741,12,319
جيدة,5,11/15/2024,556,55,320
ممتازة,5,11/16/2024,2681,93,321
خدمة رائعة,3,11/17/2024,3802,51,322
جيدة,5,11/18/2024,728,30,323
ممتازة,5,11/19/2024,1740,94,324
خدمة رائعة,5,11/20/2024,2962,61,325
جيدة,1,11/21/2024,2835,99,326
ممتازة,4,11/22/2024,4805,65,327
خدمة رائعة,5,11/23/2024,4190,8,328
جيدة,4,11/24/2024,69,72,329
ممتازة,5,11/25/2024,3529,71,330
خدمة رائعة,5,11/26/2024,2005,93,331
جيدة,1,11/27/2024,3087,72,332
ممتازة,3,11/28/2024,1778,84,333
خدمة رائعة,1,11/29/2024,1534,55,334
جيدة,1,11/30/2024,53,49,335
ممتازة,3,12/1/2024,2785,98,336
خدمة رائعة,5,12/2/2024,950,20,337
جيدة,5,12/3/2024,3942,61,338
ممتازة,2,12/4/2024,1127,22,339
خدمة رائعة,3,12/5/2024,4515,25,340
جيدة,2,12/6/2024,1419,49,341
ممتازة,5,12/7/2024,1938,3,342
خدمة رائعة,4,12/8/2024,505,28,343
جيدة,3,12/9/2024,3795,21,344
ممتازة,5,12/10/2024,2431,7,345
خدمة رائعة,5,12/11/2024,2821,85,346
جيدة,2,12/12/2024,1480,67,347
ممتازة,5,12/13/2024,3449,46,348
خدمة رائعة,4,12/14/2024,3826,70,349
جيدة,4,12/15/2024,2140,25,350
ممتازة,2,12/16/2024,102,99,351
خدمة رائعة,3,12/17/2024,3094,20,352
جيدة,3,12/18/2024,701,70,353
ممتازة,4,12/19/2024,4131,19,354
خدمة رائعة,3,12/20/2024,4785,5,355
جيدة,4,12/21/2024,4631,42,356
ممتازة,1,12/22/2024,2322,11,357
خدمة رائعة,2,12/23/2024,1120,53,358
جيدة,1,12/24/2024,4458,72,359
ممتازة,3,12/25/2024,4033,48,360
خدمة رائعة,4,12/26/2024,403,67,361
جيدة,2,12/27/2024,3984,97,362
ممتازة,3,12/28/2024,3013,40,363
خدمة رائعة,2,12/29/2024,2996,82,364
جيدة,3,12/30/2024,3525,86,365
ممتازة,3,12/31/2024,2867,9,366
خدمة رائعة,5,1/1/2025,3783,85,367
جيدة,4,1/2/2025,2195,82,368
ممتازة,5,1/3/2025,3722,82,369
خدمة رائعة,4,1/4/2025,3952,92,370
جيدة,5,1/5/2025,1025,2,371
ممتازة,3,1/6/2025,2339,34,372
خدمة رائعة,1,1/7/2025,1154,37,373
جيدة,2,1/8/2025,1935,86,374
ممتازة,5,1/9/2025,265,60,375
خدمة رائعة,5,1/10/2025,3588,85,376
جيدة,4,1/11/2025,2852,48,377
ممتازة,1,1/12/2025,4545,16,378
خدمة رائعة,1,1/13/2025,812,52,379
جيدة,5,1/14/2025,1424,42,380
ممتازة,2,1/15/2025,2414,57,381
خدمة رائعة,1,1/16/2025,1198,55,382
جيدة,2,1/17/2025,652,60,383
ممتازة,5,1/18/2025,3253,86,384
خدمة رائعة,1,1/19/2025,4385,84,385
جيدة,4,1/20/2025,1814,75,386
ممتازة,3,1/21/2025,2942,68,387
خدمة رائعة,5,1/22/2025,1963,30,388
جيدة,4,1/23/2025,1650,22,389
ممتازة,5,1/24/2025,1474,54,390
خدمة رائعة,5,1/25/2025,1495,78,391
جيدة,5,1/26/2025,4180,42,392
ممتازة,4,1/27/2025,4408,77,393
خدمة رائعة,4,1/28/2025,2473,41,394
جيدة,5,1/29/2025,334,84,395
ممتازة,3,1/30/2025,3650,9,396
خدمة رائعة,3,1/31/2025,3630,99,397
جيدة,5,2/1/2025,4332,4,398
ممتازة,1,2/2/2025,4541,91,399
خدمة رائعة,3,2/3/2025,3912,49,400
جيدة,4,2/4/2025,2838,19,401
ممتازة,5,2/5/2025,1856,81,402
خدمة رائعة,5,2/6/2025,3801,53,403
جيدة,5,2/7/2025,595,78,404
ممتازة,2,2/8/2025,1329,23,405
خدمة رائعة,3,2/9/2025,3625,41,406
جيدة,5,2/10/2025,3362,39,407
ممتازة,5,2/11/2025,3397,29,408
خدمة رائعة,4,2/12/2025,673,93,409
جيدة,2,2/13/2025,4768,93,410
ممتازة,5,2/14/2025,3411,15,411
خدمة رائعة,1,2/15/2025,2166,11,412
جيدة,3,2/16/2025,4747,46,413
ممتازة,5,2/17/2025,307,39,414
خدمة رائعة,3,2/18/2025,4620,27,415
جيدة,5,2/19/2025,953,97,416
ممتازة,2,2/20/2025,4328,79,417
خدمة رائعة,3,2/21/2025,4469,4,418
جيدة,2,2/22/2025,4048,46,419
ممتازة,2,2/23/2025,1436,25,420
خدمة رائعة,3,2/24/2025,325,44,421
جيدة,4,2/25/2025,2762,65,422
ممتازة,3,2/26/2025,2505,73,423
خدمة رائعة,4,2/27/2025,3187,49,424
جيدة,4,2/28/2025,2276,8,425
ممتازة,4,3/1/2025,2495,94,426
خدمة رائعة,3,3/2/2025,1661,33,427
جيدة,4,3/3/2025,2052,59,428
ممتازة,2,3/4/2025,3370,100,429
خدمة رائعة,3,3/5/2025,2168,72,430
جيدة,3,3/6/2025,1089,48,431
ممتازة,2,3/7/2025,2427,45,432
خدمة رائعة,4,3/8/2025,3213,39,433
جيدة,5,3/9/2025,2549,90,434
ممتازة,4,3/10/2025,3073,75,435
خدمة رائعة,2,3/11/2025,2029,38,436
جيدة,5,3/12/2025,679,75,437
ممتازة,2,3/13/2025,2151,72,438
خدمة رائعة,4,3/14/2025,3780,16,439
جيدة,2,3/15/2025,377,89,440
ممتازة,4,3/16/2025,953,33,441
خدمة رائعة,1,3/17/2025,4622,7,442
جيدة,2,3/18/2025,550,10,443
ممتازة,5,3/19/2025,3640,90,444
خدمة رائعة,5,3/20/2025,4488,87,445
جيدة,1,3/21/2025,921,82,446
ممتازة,3,3/22/2025,449,89,447
خدمة رائعة,4,3/23/2025,663,10,448
جيدة,1,3/24/2025,3714,19,449
ممتازة,1,3/25/2025,1552,92,450
خدمة رائعة,2,3/26/2025,429,4,451
جيدة,5,3/27/2025,2598,7,452
ممتازة,1,3/28/2025,845,69,453
خدمة رائعة,2,3/29/2025,3130,98,454
جيدة,1,3/30/2025,1506,64,455
ممتازة,3,3/31/2025,3932,11,456
خدمة رائعة,2,4/1/2025,355,81,457
جيدة,4,4/2/2025,27,57,458
ممتازة,5,4/3/2025,2836,65,459
خدمة رائعة,1,4/4/2025,3821,66,460
جيدة,2,4/5/2025,831,29,461
ممتازة,5,4/6/2025,1873,81,462
خدمة رائعة,3,4/7/2025,619,38,463
جيدة,1,4/8/2025,3337,60,464
ممتازة,3,4/9/2025,261,70,465
خدمة رائعة,5,4/10/2025,1344,95,466
جيدة,2,4/11/2025,682,77,467
ممتازة,5,4/12/2025,1298,51,468
خدمة رائعة,5,4/13/2025,2077,41,469
جيدة,5,4/14/2025,2584,52,470
ممتازة,3,4/15/2025,1308,7,471
خدمة رائعة,2,4/16/2025,4404,94,472
جيدة,3,4/17/2025,415,38,473
ممتازة,3,4/18/2025,596,66,474
خدمة رائعة,5,4/19/2025,4400,45,475
جيدة,5,4/20/2025,4016,14,476
ممتازة,4,4/21/2025,3078,93,477
خدمة رائعة,5,4/22/2025,4732,32,478
جيدة,4,4/23/2025,1188,3,479
ممتازة,4,4/24/2025,3211,92,480
خدمة رائعة,2,4/25/2025,2848,4,481
جيدة,1,4/26/2025,4230,59,482
ممتازة,3,4/27/2025,4353,65,483
خدمة رائعة,3,4/28/2025,1022,52,484
جيدة,1,4/29/2025,2517,57,485
ممتازة,4,4/30/2025,1120,40,486
خدمة رائعة,1,5/1/2025,3255,73,487
جيدة,4,5/2/2025,1576,6,488
ممتازة,5,5/3/2025,2621,33,489
خدمة رائعة,2,5/4/2025,1177,21,490
جيدة,2,5/5/2025,4998,9,491
ممتازة,1,5/6/2025,2472,55,492
خدمة رائعة,4,5/7/2025,3794,80,493
جيدة,5,5/8/2025,4511,95,494
ممتازة,3,5/9/2025,4077,73,495
خدمة رائعة,3,5/10/2025,3433,73,496
جيدة,4,5/11/2025,3393,64,497
ممتازة,4,5/12/2025,949,45,498
خدمة رائعة,1,5/13/2025,3484,100,499
جيدة,3,5/14/2025,4686,99,500
ممتازة,5,5/15/2025,973,2,501
خدمة رائعة,1,5/16/2025,28,97,502
جيدة,5,5/17/2025,2071,62,503
ممتازة,2,5/18/2025,4067,32,504
خدمة رائعة,3,5/19/2025,4224,95,505
جيدة,4,5/20/2025,2199,15,506
ممتازة,2,5/21/2025,3349,84,507
خدمة رائعة,4,5/22/2025,4567,36,508
جيدة,3,5/23/2025,3514,19,509
ممتازة,5,5/24/2025,1373,36,510
خدمة رائعة,1,5/25/2025,4436,3,511
جيدة,2,5/26/2025,617,26,512
ممتازة,4,5/27/2025,833,33,513
خدمة رائعة,4,5/28/2025,88,26,514
جيدة,1,5/29/2025,4590,80,515
ممتازة,5,5/30/2025,450,79,516
خدمة رائعة,5,5/31/2025,4653,81,517
جيدة,4,6/1/2025,1207,68,518
ممتازة,3,6/2/2025,3225,21,519
خدمة رائعة,4,6/3/2025,1351,76,520
جيدة,5,6/4/2025,3992,64,521
ممتازة,4,6/5/2025,4139,36,522
خدمة رائعة,2,6/6/2025,2820,95,523
جيدة,4,6/7/2025,300,60,524
ممتازة,3,6/8/2025,3475,67,525
خدمة رائعة,5,6/9/2025,2182,85,526
جيدة,4,6/10/2025,2067,43,527
ممتازة,2,6/11/2025,793,8,528
خدمة رائعة,1,6/12/2025,1318,69,529
جيدة,5,6/13/2025,2414,68,530
ممتازة,3,6/14/2025,1782,29,531
خدمة رائعة,5,6/15/2025,3149,73,532
جيدة,2,6/16/2025,3742,75,533
ممتازة,3,6/17/2025,4042,63,534
خدمة رائعة,2,6/18/2025,4918,22,535
جيدة,5,6/19/2025,4679,93,536
ممتازة,2,6/20/2025,802,3,537
خدمة رائعة,5,6/21/2025,4785,25,538
جيدة,1,6/22/2025,4236,56,539
ممتازة,1,6/23/2025,4519,12,540
خدمة رائعة,3,6/24/2025,4569,52,541
جيدة,3,6/25/2025,3467,14,542
ممتازة,3,6/26/2025,1668,56,543
خدمة رائعة,1,6/27/2025,2509,63,544
جيدة,2,6/28/2025,1473,10,545
ممتازة,3,6/29/2025,77,32,546
خدمة رائعة,2,6/30/2025,551,46,547
جيدة,4,7/1/2025,771,58,548
ممتازة,5,7/2/2025,2347,41,549
خدمة رائعة,2,7/3/2025,2394,75,550
جيدة,5,7/4/2025,1411,72,551
ممتازة,5,7/5/2025,1502,31,552
خدمة رائعة,3,7/6/2025,1562,67,553
جيدة,4,7/7/2025,852,43,554
ممتازة,4,7/8/2025,1026,83,555
خدمة رائعة,1,7/9/2025,2988,50,556
جيدة,3,7/10/2025,4754,63,557
ممتازة,5,7/11/2025,1055,20,558
خدمة رائعة,2,7/12/2025,4232,58,559
جيدة,5,7/13/2025,2627,95,560
ممتازة,4,7/14/2025,4414,3,561
خدمة رائعة,4,7/15/2025,4511,94,562
جيدة,1,7/16/2025,2658,67,563
ممتازة,2,7/17/2025,2686,68,564
خدمة رائعة,1,7/18/2025,3854,32,565
جيدة,1,7/19/2025,1861,10,566
ممتازة,4,7/20/2025,2536,27,567
خدمة رائعة,2,7/21/2025,4427,89,568
جيدة,3,7/22/2025,2841,54,569
ممتازة,1,7/23/2025,15,12,570
خدمة رائعة,4,7/24/2025,4220,38,571
جيدة,4,7/25/2025,739,93,572
ممتازة,2,7/26/2025,4135,59,573
خدمة رائعة,3,7/27/2025,418,61,574
جيدة,4,7/28/2025,1463,84,575
ممتازة,2,7/29/2025,972,52,576
خدمة رائعة,2,7/30/2025,1803,2,577
جيدة,1,7/31/2025,2990,14,578
ممتازة,4,8/1/2025,3608,12,579
خدمة رائعة,2,8/2/2025,3500,87,580
جيدة,3,8/3/2025,2666,14,581
ممتازة,5,8/4/2025,2679,84,582
خدمة رائعة,1,8/5/2025,4736,59,583
جيدة,2,8/6/2025,2790,70,584
ممتازة,2,8/7/2025,3467,37,585
خدمة رائعة,4,8/8/2025,3820,25,586
جيدة,1,8/9/2025,2673,29,587
ممتازة,5,8/10/2025,754,51,588
خدمة رائعة,1,8/11/2025,1318,40,589
جيدة,2,8/12/2025,440,28,590
ممتازة,4,8/13/2025,2687,16,591
خدمة رائعة,4,8/14/2025,211,87,592
جيدة,3,8/15/2025,4611,7,593
ممتازة,5,8/16/2025,3055,46,594
خدمة رائعة,3,8/17/2025,4898,19,595
جيدة,3,8/18/2025,4343,92,596
ممتازة,3,8/19/2025,2987,56,597
خدمة رائعة,1,8/20/2025,4516,90,598
جيدة,4,8/21/2025,4490,48,599
ممتازة,5,8/22/2025,2206,22,600
خدمة رائعة,1,8/23/2025,3334,40,601
جيدة,4,8/24/2025,4090,49,602
ممتازة,4,8/25/2025,1807,79,603
خدمة رائعة,3,8/26/2025,546,53,604
جيدة,4,8/27/2025,4474,25,605
ممتازة,2,8/28/2025,726,1,606
خدمة رائعة,2,8/29/2025,916,90,607
جيدة,5,8/30/2025,3844,27,608
ممتازة,2,8/31/2025,4489,10,609
خدمة رائعة,1,9/1/2025,1532,16,610
جيدة,2,9/2/2025,1781,10,611
ممتازة,5,9/3/2025,4176,28,612
خدمة رائعة,3,9/4/2025,414,1,613
جيدة,3,9/5/2025,23,8,614
ممتازة,3,9/6/2025,4198,99,615
خدمة رائعة,2,9/7/2025,3912,30,616
جيدة,5,9/8/2025,4307,67,617
ممتازة,3,9/9/2025,4851,50,618
خدمة رائعة,1,9/10/2025,356,73,619
جيدة,2,9/11/2025,3114,63,620
